POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
52,Glenn Maxwell,MI,IS Bindra Stadium,2016-04-25,33,1,5,56,2016
53,Sam Billings,KKR,Feroz Shah Kotla Ground,2016-04-30,33,2,3,54,2016
54,Suresh Raina,KKR,Green Park,2016-05-19,33,1,7,53,2016
55,Aaron Finch,RPS,Saurashtra Cricket Association Stadium,2016-04-14,33,2,7,50,2016
56,Suresh Raina,SRH,Saurashtra Cricket Association Stadium,2016-04-21,34,0,9,75,2016
57,Ajinkya Rahane,RCB,M. Chinnaswamy Stadium,2016-05-07,34,2,8,74,2016
58,KL Rahul,GL,Saurashtra Cricket Association Stadium,2016-04-24,34,3,4,51,2016
59,Manish Pandey,RCB,Eden Gardens,2016-05-16,34,2,5,50,2016
60,David Warner,GL,Feroz Shah Kotla Ground,2016-05-27,35,3,11,93,2016
61,Murali Vijay,RCB,IS Bindra Stadium,2016-05-09,36,1,12,89,2016
62,Virat Kohli,DC,M. Chinnaswamy Stadium,2016-04-17,36,3,7,79,2016
63,Rohit Sharma,KKR,Wankhede Stadium,2016-04-28,36,2,8,68,2016
64,Murali Vijay,RPS,ACA-VDCA Stadium,2016-05-21,36,3,4,59,2016
65,Murali Vijay,GL,Saurashtra Cricket Association Stadium,2016-05-01,36,0,6,55,2016
66,Karun Nair,RCB,M. Chinnaswamy Stadium,2016-04-17,36,1,6,54,2016
67,Virat Kohli,KKR,Eden Gardens,2016-05-16,37,3,5,75,2016
68,Ajinkya Rahane,RCB,Maharashtra Cricket Association's International Stadium,2016-04-22,37,0,8,60,2016
69,Saurabh Tiwary,RCB,M. Chinnaswamy Stadium,2016-05-07,37,0,9,52,2016
70,Kane Williamson,RCB,Rajiv Gandhi Intl. Cricket Stadium,2016-04-30,37,0,7,50,2016
71,Rohit Sharma,RPS,Maharashtra Cricket Association's International Stadium,2016-05-01,38,3,8,85,2016
72,Rohit Sharma,KKR,Eden Gardens,2016-04-13,38,2,10,84,2016
73,Robin Uthappa,KXIP,Eden Gardens,2016-05-04,38,2,6,70,2016
74,Ajinkya Rahane,DC,Feroz Shah Kotla Ground,2016-05-05,38,0,7,63,2016
75,Rohit Sharma,RCB,Wankhede Stadium,2016-04-20,38,3,4,62,2016
76,Quinton de Kock,KXIP,Feroz Shah Kotla Ground,2016-04-15,38,1,9,59,2016
77,Wriddhiman Saha,MI,ACA-VDCA Stadium,2016-05-13,38,1,6,56,2016
78,David Warner,KXIP,IS Bindra Stadium,2016-05-15,38,1,5,52,2016
79,Virat Kohli,GL,M. Chinnaswamy Stadium,2016-05-14,39,8,5,109,2016
80,Karun Nair,KKR,Feroz Shah Kotla Ground,2016-04-30,39,1,9,68,2016
81,Gautam Gambhir,MI,Eden Gardens,2016-04-13,39,1,4,64,2016
82,Suryakumar Yadav,RPS,Maharashtra Cricket Association's International Stadium,2016-04-24,39,2,6,60,2016
83,Gautam Gambhir,MI,Wankhede Stadium,2016-04-28,39,1,6,59,2016
84,Saurabh Tiwary,MI,Maharashtra Cricket Association's International Stadium,2016-05-01,39,2,4,57,2016
85,Dinesh Karthik,RCB,Saurashtra Cricket Association Stadium,2016-04-24,39,0,3,50,2016
86,Virat Kohli,GL,Saurashtra Cricket Association Stadium,2016-04-24,40,1,11,100,2016
87,Virat Kohli,SRH,M. Chinnaswamy Stadium,2016-04-12,40,3,7,75,2016
88,David Warner,DC,Shaheed Veer Narayan Singh International Cricket Stadium,2016-05-20,40,1,8,73,2016
89,Sanju Samson,MI,Feroz Shah Kotla Ground,2016-04-23,40,2,4,60,2016
90,Shaun Marsh,KKR,IS Bindra Stadium,2016-04-19,40,1,5,56,2016
91,Virat Kohli,DC,Shaheed Veer Narayan Singh International Cricket Stadium,2016-05-22,40,0,6,54,2016
92,Shikhar Dhawan,GL,Saurashtra Cricket Association Stadium,2016-04-21,40,0,5,53,2016
93,Gautam Gambhir,SRH,Rajiv Gandhi Intl. Cricket Stadium,2016-04-16,41,1,13,90,2016
94,Parthiv Patel,KXIP,IS Bindra Stadium,2016-04-25,41,2,10,81,2016
95,Shakib Al Hasan,GL,Eden Gardens,2016-05-08,41,4,4,66,2016
96,Rohit Sharma,DC,Feroz Shah Kotla Ground,2016-04-23,41,1,7,65,2016
97,Eoin Morgan,KKR,Rajiv Gandhi Intl. Cricket Stadium,2016-04-16,41,2,3,51,2016
98,David Warner,MI,Rajiv Gandhi Intl. Cricket Stadium,2016-04-18,42,4,7,90,2016
99,Karun Nair,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,2016-05-20,42,3,8,83,2016
100,KL Rahul,MI,M. Chinnaswamy Stadium,2016-05-11,42,4,3,68,2016
1,Harbhajan Singh,KXIP,Wankhede Stadium,2015-04-12,19,6,5,64,2015
2,Andre Russell,KXIP,Eden Gardens,2015-05-09,19,4,5,51,2015
3,David Warner,CSK,Rajiv Gandhi Intl. Cricket Stadium,2015-05-02,20,1,11,61,2015
4,Moises Henriques,RCB,Rajiv Gandhi Intl. Cricket Stadium,2015-05-15,20,4,5,57,2015
5,Kieron Pollard,CSK,Wankhede Stadium,2015-04-17,21,5,4,64,2015
6,Chris Gayle,KXIP,M. Chinnaswamy Stadium,2015-05-06,22,12,7,117,2015
7,Dwayne Smith,MI,Wankhede Stadium,2015-04-17,22,4,8,62,2015
8,Deepak Hooda,DC,Feroz Shah Kotla Ground,2015-04-12,22,4,3,54,2015
9,Eoin Morgan,RR,Brabourne Stadium,2015-05-07,23,5,4,63,2015
10,Kedar Jadhav,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,2015-05-09,24,2,8,63,2015
11,David Warner,RCB,M. Chinnaswamy Stadium,2015-04-13,24,4,6,57,2015
12,Hardik Pandya,KKR,Wankhede Stadium,2015-05-14,25,2,8,61,2015
13,Andre Russell,CSK,Eden Gardens,2015-04-30,25,4,4,55,2015
14,Rohit Sharma,CSK,Eden Gardens,2015-05-24,25,2,6,50,2015
15,George Bailey,MI,Wankhede Stadium,2015-04-12,27,3,4,61,2015
16,Ambati Rayudu,RR,Wankhede Stadium,2015-05-01,27,3,4,53,2015
17,Kieron Pollard,RR,Sardar Patel Stadium,2015-04-14,28,5,7,70,2015
18,Andre Russell,KXIP,Maharashtra Cricket Association's International Stadium,2015-04-18,28,2,9,66,2015
19,MS Dhoni,SRH,Chidambaram,2015-04-11,28,4,4,53,2015
20,AB de Villiers,MI,Wankhede Stadium,2015-05-10,29,4,19,133,2015
21,Dwayne Bravo,RR,Sardar Patel Stadium,2015-04-19,29,1,8,62,2015
22,Suresh Raina,RCB,M. Chinnaswamy Stadium,2015-04-22,29,6,4,62,2015
23,Chris Gayle,DC,Feroz Shah Kotla Ground,2015-04-26,29,4,6,62,2015
24,David Miller,RR,Sardar Patel Stadium,2015-04-21,29,5,1,54,2015
25,Quinton de Kock,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,2015-05-09,29,1,9,50,2015
26,Quinton de Kock,RCB,M. Chinnaswamy Stadium,2015-05-17,30,3,9,69,2015
27,David Warner,RCB,Rajiv Gandhi Intl. Cricket Stadium,2015-05-15,30,1,5,52,2015
28,Rohit Sharma,CSK,Wankhede Stadium,2015-04-17,30,1,5,50,2015
29,Shane Watson,KKR,Brabourne Stadium,2015-05-16,31,5,9,104,2015
30,David Miller,SRH,Rajiv Gandhi Intl. Cricket Stadium,2015-05-11,31,9,2,89,2015
31,Steve Smith,SRH,Brabourne Stadium,2015-05-07,32,2,9,68,2015
32,Brendon McCullum,KXIP,Chidambaram,2015-04-25,32,3,8,66,2015
33,Shaun Marsh,RR,Sardar Patel Stadium,2015-04-21,32,3,5,65,2015
34,Shreyas Iyer,SRH,ACA-VDCA Stadium,2015-04-18,32,5,3,60,2015
35,Parthiv Patel,KXIP,IS Bindra Stadium,2015-05-03,32,3,5,59,2015
36,Mandeep Singh,RR,Maharashtra Cricket Association's International Stadium,2015-05-20,32,2,7,54,2015
37,Karun Nair,DC,Brabourne Stadium,2015-05-03,33,2,6,61,2015
38,Unmukt Chand,RCB,M. Chinnaswamy Stadium,2015-04-19,33,2,8,58,2015
39,Shikhar Dhawan,RR,Brabourne Stadium,2015-05-07,33,2,6,54,2015
40,Yuvraj Singh,KXIP,Maharashtra Cricket Association's International Stadium,2015-04-15,33,3,5,54,2015
41,AB de Villiers,RR,Maharashtra Cricket Association's International Stadium,2015-05-20,34,4,4,66,2015
42,JP Duminy,RR,Brabourne Stadium,2015-05-03,34,3,3,56,2015
43,Ajinkya Rahane,CSK,Sardar Patel Stadium,2015-04-19,35,2,6,76,2015
44,Sanju Samson,MI,Wankhede Stadium,2015-05-01,35,3,7,76,2015
45,Shane Watson,CSK,Sardar Patel Stadium,2015-04-19,35,4,6,73,2015
46,Lendl Simmons,CSK,Eden Gardens,2015-05-24,35,3,8,68,2015
47,JP Duminy,RCB,M. Chinnaswamy Stadium,2015-05-17,35,3,4,67,2015
48,David Warner,KXIP,IS Bindra Stadium,2015-04-27,35,1,10,58,2015
49,Yusuf Pathan,MI,Wankhede Stadium,2015-05-14,35,2,5,52,2015
50,David Warner,KKR,ACA-VDCA Stadium,2015-04-22,36,4,9,91,2015
51,Ajinkya Rahane,DC,Brabourne Stadium,2015-05-03,36,3,9,91,2015
52,David Warner,KXIP,Rajiv Gandhi Intl. Cricket Stadium,2015-05-11,36,5,6,81,2015
53,JP Duminy,MI,Feroz Shah Kotla Ground,2015-04-23,36,6,3,78,2015
54,Shreyas Iyer,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,2015-05-12,36,1,10,70,2015
55,Lendl Simmons,RCB,M. Chinnaswamy Stadium,2015-04-19,36,2,9,59,2015
56,Faf du Plessis,KXIP,IS Bindra Stadium,2015-05-16,36,1,5,55,2015
57,Parthiv Patel,SRH,Rajiv Gandhi Intl. Cricket Stadium,2015-05-17,36,0,9,51,2015
58,Chris Gayle,KKR,Eden Gardens,2015-04-11,37,7,7,96,2015
59,Shreyas Iyer,MI,Feroz Shah Kotla Ground,2015-04-23,37,5,7,83,2015
60,Mayank Agarwal,KXIP,Maharashtra Cricket Association's International Stadium,2015-04-15,37,2,7,68,2015
61,Corey Anderson,RR,Sardar Patel Stadium,2015-04-14,37,3,5,50,2015
62,Brendon McCullum,SRH,Chidambaram,2015-04-11,38,9,7,100,2015
63,Lendl Simmons,KXIP,IS Bindra Stadium,2015-05-03,38,1,9,71,2015
64,Lendl Simmons,CSK,Wankhede Stadium,2015-05-19,38,5,3,65,2015
65,Gautam Gambhir,DC,Feroz Shah Kotla Ground,2015-04-20,38,0,8,60,2015
66,Shreyas Iyer,KXIP,Feroz Shah Kotla Ground,2015-05-01,38,3,4,54,2015
67,Virat Kohli,MI,Wankhede Stadium,2015-05-10,39,4,6,82,2015
68,Moises Henriques,DC,Shaheed Veer Narayan Singh International Cricket Stadium,2015-05-09,39,5,1,74,2015
69,Virat Kohli,RR,Sardar Patel Stadium,2015-04-24,39,3,1,62,2015
70,Gautam Gambhir,MI,Eden Gardens,2015-04-08,39,1,7,57,2015
71,JP Duminy,SRH,ACA-VDCA Stadium,2015-04-18,39,2,5,54,2015
72,Mayank Agarwal,KXIP,Feroz Shah Kotla Ground,2015-05-01,39,1,6,52,2015
73,Robin Uthappa,CSK,Eden Gardens,2015-04-30,40,1,7,80,2015
74,Steve Smith,MI,Sardar Patel Stadium,2015-04-14,40,1,8,79,2015
75,Ajinkya Rahane,KXIP,Sardar Patel Stadium,2015-04-21,40,2,6,74,2015
76,George Bailey,KKR,Maharashtra Cricket Association's International Stadium,2015-04-18,40,2,5,60,2015
77,Yuvraj Singh,MI,Wankhede Stadium,2015-05-05,40,2,7,57,2015
78,Virat Kohli,CSK,M. Chinnaswamy Stadium,2015-04-22,40,2,4,51,2015
79,Gautam Gambhir,RCB,Eden Gardens,2015-04-11,41,1,7,58,2015
80,AB de Villiers,RR,M. Chinnaswamy Stadium,2015-04-29,41,1,9,57,2015
81,Corey Anderson,KKR,Eden Gardens,2015-04-08,41,3,4,55,2015
82,David Warner,CSK,Chidambaram,2015-04-11,41,3,1,53,2015
83,Lendl Simmons,SRH,Wankhede Stadium,2015-04-25,41,1,6,51,2015
84,Shikhar Dhawan,RCB,M. Chinnaswamy Stadium,2015-04-13,41,2,4,50,2015
85,Albie Morkel,CSK,Chidambaram,2015-04-09,43,1,8,73,2015
86,Lendl Simmons,RCB,Wankhede Stadium,2015-05-10,43,3,5,68,2015
87,Michael Hussey,RCB,JSCA Stadium,2015-05-22,43,2,3,56,2015
88,Shikhar Dhawan,KKR,ACA-VDCA Stadium,2015-04-22,43,1,4,54,2015
89,Brendon McCullum,RR,Chidambaram,2015-05-10,44,4,7,81,2015
90,Suresh Raina,RCB,Chidambaram,2015-05-04,44,1,5,52,2015
91,Dwayne Smith,MI,Eden Gardens,2015-05-24,45,1,9,57,2015
92,Rohit Sharma,KKR,Eden Gardens,2015-04-08,46,4,12,98,2015
93,Ajinkya Rahane,SRH,ACA-VDCA Stadium,2015-04-16,46,0,9,62,2015
1,Yusuf Pathan,SRH,Eden Gardens,2014-05-24,15,7,5,72,2014
2,Suresh Raina,KXIP,Wankhede Stadium,2014-05-30,16,6,12,87,2014
3,David Miller,RR,Sharjah Cricket Stadium,2014-04-20,19,6,0,51,2014
4,Virender Sehwag,CSK,Wankhede Stadium,2014-05-30,21,8,12,122,2014
5,Glenn Maxwell,SRH,Sharjah Cricket Stadium,2014-04-22,21,9,5,95,2014
6,Glenn Maxwell,CSK,Barabati Stadium,2014-05-07,22,8,6,90,2014
7,Wriddhiman Saha,SRH,Rajiv Gandhi Intl. Cricket Stadium,2014-05-14,22,2,8,54,2014
8,Faf du Plessis,KXIP,Barabati Stadium,2014-05-07,22,1,7,52,2014
9,AB de Villiers,SRH,M. Chinnaswamy Stadium,2014-05-04,23,8,6,89,2014
10,David Miller,RCB,M. Chinnaswamy Stadium,2014-05-09,23,3,8,66,2014
11,Yuvraj Singh,RR,M. Chinnaswamy Stadium,2014-05-11,24,7,7,83,2014
12,Yuvraj Singh,DC,M. Chinnaswamy Stadium,2014-05-13,24,9,1,68,2014
13,Glenn Maxwell,CSK,Sheikh Zayed Stadium,2014-04-18,25,2,15,95,2014
14,Corey Anderson,RR,Wankhede Stadium,2014-05-25,25,6,9,95,2014
15,David Warner,CSK,JSCA Stadium,2014-05-22,25,3,12,90,2014
16,AB de Villiers,KXIP,M. Chinnaswamy Stadium,2014-05-09,25,5,1,53,2014
17,Karun Nair,MI,Wankhede Stadium,2014-05-25,26,2,7,50,2014
18,Lendl Simmons,KXIP,IS Bindra Stadium,2014-05-21,27,2,14,100,2014
19,Dwayne Smith,RR,Dubai International Cricket Stadium,2014-04-23,27,3,6,50,2014
20,Glenn Maxwell,RR,Sharjah Cricket Stadium,2014-04-20,28,6,8,89,2014
21,Michael Hussey,DC,Wankhede Stadium,2014-05-23,28,2,7,56,2014
22,Yuvraj Singh,DC,Sharjah Cricket Stadium,2014-04-17,28,5,3,52,2014
23,Shane Watson,KXIP,Sharjah Cricket Stadium,2014-04-20,28,3,5,50,2014
24,Wriddhiman Saha,KKR,M. Chinnaswamy Stadium,2014-06-01,29,8,10,115,2014
25,Naman Ojha,KXIP,Rajiv Gandhi Intl. Cricket Stadium,2014-05-14,29,7,4,79,2014
26,Robin Uthappa,CSK,Eden Gardens,2014-05-20,29,1,10,67,2014
27,Suresh Raina,MI,Brabourne Stadium,2014-05-28,29,2,4,54,2014
28,Brendon McCullum,KXIP,Sheikh Zayed Stadium,2014-04-18,30,5,4,67,2014
29,AB de Villiers,RR,M. Chinnaswamy Stadium,2014-05-11,30,5,1,58,2014
30,David Warner,MI,Rajiv Gandhi Intl. Cricket Stadium,2014-05-12,30,2,6,55,2014
31,Manish Pandey,KXIP,M. Chinnaswamy Stadium,2014-06-01,31,6,7,94,2014
32,Rohit Sharma,RCB,Wankhede Stadium,2014-05-06,31,4,3,59,2014
33,Shakib Al Hasan,RCB,Eden Gardens,2014-05-22,32,3,5,60,2014
34,Michael Hussey,RR,Sardar Patel Stadium,2014-05-19,32,2,3,56,2014
35,Brendon McCullum,KKR,JSCA Stadium,2014-05-02,32,2,5,56,2014
36,David Miller,CSK,Sheikh Zayed Stadium,2014-04-18,32,3,3,54,2014
37,Gautam Gambhir,RR,Sardar Patel Stadium,2014-05-05,32,1,6,54,2014
38,Sanju Samson,KXIP,Sharjah Cricket Stadium,2014-04-20,32,4,3,52,2014
39,David Hussey,SRH,JSCA Stadium,2014-05-22,33,2,5,50,2014
40,Robin Uthappa,RCB,Eden Gardens,2014-05-22,34,1,10,83,2014
41,Robin Uthappa,MI,Barabati Stadium,2014-05-14,34,3,9,80,2014
42,Ambati Rayudu,SRH,Rajiv Gandhi Intl. Cricket Stadium,2014-05-12,34,2,7,68,2014
43,Virat Kohli,SRH,Rajiv Gandhi Intl. Cricket Stadium,2014-05-20,34,4,4,67,2014
44,Kevin Pietersen,KXIP,IS Bindra Stadium,2014-05-25,34,0,9,58,2014
45,Karun Nair,RCB,M. Chinnaswamy Stadium,2014-05-11,34,0,8,56,2014
46,Virender Sehwag,KKR,Barabati Stadium,2014-05-11,35,1,11,72,2014
47,Dinesh Karthik,KXIP,Feroz Shah Kotla Ground,2014-05-19,35,3,7,69,2014
48,Suresh Raina,RCB,JSCA Stadium,2014-05-18,35,1,6,62,2014
49,JP Duminy,KKR,Dubai International Cricket Stadium,2014-04-19,35,3,3,52,2014
50,Shane Watson,CSK,JSCA Stadium,2014-05-13,35,4,3,51,2014
51,Dinesh Karthik,CSK,Feroz Shah Kotla Ground,2014-05-05,35,3,4,51,2014
52,Sanju Samson,MI,Wankhede Stadium,2014-05-25,36,3,7,74,2014
53,Brendon McCullum,MI,Dubai International Cricket Stadium,2014-04-25,36,2,8,71,2014
54,Lendl Simmons,CSK,Brabourne Stadium,2014-05-28,36,4,5,67,2014
55,Dinesh Karthik,KKR,Dubai International Cricket Stadium,2014-04-19,36,2,5,56,2014
56,Suresh Raina,DC,Sheikh Zayed Stadium,2014-04-21,36,1,5,56,2014
57,Aaron Finch,DC,Dubai International Cricket Stadium,2014-04-25,37,4,8,88,2014
58,Kieron Pollard,SRH,Dubai International Cricket Stadium,2014-04-30,37,6,3,78,2014
59,Jacques Kallis,MI,Sheikh Zayed Stadium,2014-04-16,37,3,5,72,2014
60,Dwayne Smith,SRH,Sharjah Cricket Stadium,2014-04-27,37,5,4,66,2014
61,Dwayne Smith,KXIP,Sheikh Zayed Stadium,2014-04-18,37,3,6,66,2014
62,Dwayne Smith,DC,Feroz Shah Kotla Ground,2014-05-05,38,8,4,79,2014
63,Gautam Gambhir,KXIP,Barabati Stadium,2014-05-11,38,0,7,63,2014
64,Ambati Rayudu,CSK,Wankhede Stadium,2014-05-10,38,4,2,59,2014
65,Robin Uthappa,DC,Dubai International Cricket Stadium,2014-04-19,38,1,6,55,2014
66,Gautam Gambhir,DC,Feroz Shah Kotla Ground,2014-05-07,39,2,5,69,2014
67,Lendl Simmons,SRH,Rajiv Gandhi Intl. Cricket Stadium,2014-05-12,39,4,5,68,2014
68,Robin Uthappa,RR,Sardar Patel Stadium,2014-05-05,39,3,5,65,2014
69,Manoj Tiwary,RR,Sardar Patel Stadium,2014-05-15,39,2,5,61,2014
70,MS Dhoni,SRH,JSCA Stadium,2014-05-22,39,4,2,57,2014
71,Murali Vijay,SRH,Dubai International Cricket Stadium,2014-04-25,39,1,7,52,2014
72,Shikhar Dhawan,RCB,Rajiv Gandhi Intl. Cricket Stadium,2014-05-20,39,1,7,50,2014
73,Virat Kohli,CSK,M. Chinnaswamy Stadium,2014-05-24,40,5,2,73,2014
74,Shikhar Dhawan,CSK,JSCA Stadium,2014-05-22,40,2,4,64,2014
75,David Warner,DC,Dubai International Cricket Stadium,2014-04-25,40,3,3,58,2014
76,Rohit Sharma,CSK,Dubai International Cricket Stadium,2014-04-25,40,2,3,50,2014
77,Karun Nair,DC,Feroz Shah Kotla Ground,2014-05-03,41,2,8,73,2014
78,Aaron Finch,MI,Rajiv Gandhi Intl. Cricket Stadium,2014-05-12,41,2,7,68,2014
79,David Warner,MI,Dubai International Cricket Stadium,2014-04-30,41,4,1,65,2014
80,David Warner,RCB,Rajiv Gandhi Intl. Cricket Stadium,2014-05-20,41,4,3,59,2014
81,Manan Vohra,KKR,M. Chinnaswamy Stadium,2014-06-01,42,2,6,67,2014
82,Manish Pandey,MI,Sheikh Zayed Stadium,2014-04-16,42,2,6,64,2014
83,Parthiv Patel,MI,Dubai International Cricket Stadium,2014-04-19,42,0,7,57,2014
84,Suresh Raina,KKR,Eden Gardens,2014-05-20,43,5,3,65,2014
85,Lendl Simmons,RR,Sardar Patel Stadium,2014-05-19,43,2,6,62,2014
86,David Warner,RCB,M. Chinnaswamy Stadium,2014-05-04,43,3,4,61,2014
87,Wriddhiman Saha,MI,Wankhede Stadium,2014-05-03,43,3,4,59,2014
88,Faf du Plessis,RCB,M. Chinnaswamy Stadium,2014-05-24,43,3,3,54,2014
89,Rohit Sharma,KKR,Barabati Stadium,2014-05-14,43,2,4,51,2014
90,Ajinkya Rahane,KKR,Sheikh Zayed Stadium,2014-04-29,44,1,6,72,2014
91,JP Duminy,RCB,Sharjah Cricket Stadium,2014-04-17,44,3,4,67,2014
92,Ajinkya Rahane,DC,Sardar Patel Stadium,2014-05-15,45,1,8,64,2014
93,Ajinkya Rahane,SRH,Sheikh Zayed Stadium,2014-04-18,46,0,6,59,2014
94,Dwayne Smith,MI,Wankhede Stadium,2014-05-10,49,3,5,57,2014
1,Chris Gayle,PWI,M. Chinnaswamy Stadium,2013-04-23,17,17,13,175,2013
2,Kieron Pollard,SRH,Wankhede Stadium,2013-05-13,20,8,2,66,2013
3,Dwayne Smith,CSK,Feroz Shah Kotla Ground,2013-05-21,21,5,6,68,2013
4,AB de Villiers,PWI,Maharashtra Cricket Association's International Stadium,2013-05-02,23,2,6,50,2013
5,David Miller,RCB,IS Bindra Stadium,2013-05-06,24,7,8,101,2013
6,MS Dhoni,MI,Chidambaram,2013-04-06,24,3,5,51,2013
7,David Warner,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,2013-04-28,24,4,4,51,2013
8,Shane Watson,CSK,Sawai Mansingh Stadium,2013-05-12,25,6,6,70,2013
9,David Miller,CSK,Chidambaram,2013-05-02,25,2,5,51,2013
10,AB de Villiers,CSK,Chidambaram,2013-04-13,26,1,8,64,2013
11,Azhar Mahmood,MI,HPCA Stadium,2013-05-18,27,4,8,80,2013
12,Chris Gayle,KXIP,IS Bindra Stadium,2013-05-06,27,3,6,61,2013
13,Rohit Sharma,KXIP,Wankhede Stadium,2013-04-29,28,6,6,79,2013
14,Virat Kohli,CSK,M. Chinnaswamy Stadium,2013-05-18,28,4,6,56,2013
15,Shane Watson,CSK,Chidambaram,2013-04-22,29,6,6,101,2013
16,Dinesh Karthik,DC,Wankhede Stadium,2013-04-09,29,2,14,86,2013
17,Suresh Raina,MI,Feroz Shah Kotla Ground,2013-05-21,29,5,5,82,2013
18,David Miller,PWI,IS Bindra Stadium,2013-04-21,29,5,5,80,2013
19,Brad Hodge,SRH,Feroz Shah Kotla Ground,2013-05-22,29,5,2,54,2013
20,Rohit Sharma,PWI,Wankhede Stadium,2013-04-13,30,5,3,62,2013
21,Aditya Tare,RR,Wankhede Stadium,2013-05-15,30,1,8,59,2013
22,MS Dhoni,DC,Chidambaram,2013-05-14,30,4,2,58,2013
23,Michael Hussey,KKR,Chidambaram,2013-04-28,31,2,11,95,2013
24,Virender Sehwag,MI,Feroz Shah Kotla Ground,2013-04-21,31,2,13,95,2013
25,Virat Kohli,SRH,M. Chinnaswamy Stadium,2013-04-09,31,4,11,93,2013
26,Michael Hussey,RR,Chidambaram,2013-04-22,31,1,13,88,2013
27,Rohit Sharma,DC,Feroz Shah Kotla Ground,2013-04-21,31,5,5,73,2013
28,Gautam Gambhir,KXIP,IS Bindra Stadium,2013-04-16,31,0,9,60,2013
29,Dinesh Karthik,RCB,M. Chinnaswamy Stadium,2013-04-04,31,4,3,60,2013
30,Kieron Pollard,CSK,Eden Gardens,2013-05-26,31,3,7,60,2013
31,Aaron Finch,DC,Maharashtra Cricket Association's International Stadium,2013-05-19,31,4,3,52,2013
32,Suresh Raina,KXIP,Chidambaram,2013-05-02,32,6,7,100,2013
33,Chris Gayle,KKR,M. Chinnaswamy Stadium,2013-04-11,32,9,4,85,2013
34,Yusuf Pathan,PWI,JSCA Stadium,2013-05-15,32,2,8,72,2013
35,Aaron Finch,CSK,Chidambaram,2013-04-15,32,2,10,67,2013
36,Michael Hussey,SRH,Rajiv Gandhi Intl. Cricket Stadium,2013-05-08,32,4,5,67,2013
37,MS Dhoni,SRH,Chidambaram,2013-04-25,32,4,7,67,2013
38,Virat Kohli,DC,M. Chinnaswamy Stadium,2013-04-16,32,1,7,65,2013
39,Sanju Samson,RCB,Sawai Mansingh Stadium,2013-04-29,32,2,7,63,2013
40,David Miller,MI,Wankhede Stadium,2013-04-29,32,5,1,56,2013
41,Cameron White,RCB,M. Chinnaswamy Stadium,2013-04-09,32,3,3,52,2013
42,Aaron Finch,KXIP,IS Bindra Stadium,2013-04-21,33,2,8,64,2013
43,Suresh Raina,RR,Chidambaram,2013-04-22,33,2,4,51,2013
44,Robin Uthappa,RCB,Maharashtra Cricket Association's International Stadium,2013-05-02,34,5,5,75,2013
45,Shaun Marsh,CSK,Chidambaram,2013-05-02,34,2,8,73,2013
46,Dwayne Smith,KKR,Eden Gardens,2013-04-24,34,5,3,62,2013
47,David Warner,MI,Wankhede Stadium,2013-04-09,34,4,5,61,2013
48,Mahela Jayawardene,MI,Feroz Shah Kotla Ground,2013-04-21,34,1,8,59,2013
49,Suresh Raina,SRH,Rajiv Gandhi Intl. Cricket Stadium,2013-05-08,35,3,11,99,2013
50,David Warner,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,2013-05-01,35,3,6,66,2013
51,Kieron Pollard,CSK,Chidambaram,2013-04-06,35,5,4,57,2013
52,Eoin Morgan,RR,Sawai Mansingh Stadium,2013-04-08,35,3,3,51,2013
53,Dwayne Smith,RCB,Wankhede Stadium,2013-04-27,35,3,4,50,2013
54,Michael Hussey,KXIP,IS Bindra Stadium,2013-04-10,36,2,11,86,2013
55,Aaron Finch,RR,Maharashtra Cricket Association's International Stadium,2013-04-11,36,3,6,64,2013
56,Ben Rohrer,RR,Sawai Mansingh Stadium,2013-05-07,36,1,9,64,2013
57,Azhar Mahmood,RCB,M. Chinnaswamy Stadium,2013-05-14,36,1,8,61,2013
58,Shikhar Dhawan,MI,Wankhede Stadium,2013-05-13,36,2,6,59,2013
59,Rahul Dravid,PWI,Sawai Mansingh Stadium,2013-05-05,36,1,9,58,2013
60,Ajinkya Rahane,PWI,Sawai Mansingh Stadium,2013-05-05,37,2,6,67,2013
61,Ajinkya Rahane,DC,Sawai Mansingh Stadium,2013-05-07,37,1,5,63,2013
62,Darren Sammy,RR,Sawai Mansingh Stadium,2013-04-27,37,1,8,60,2013
63,Chris Gayle,MI,M. Chinnaswamy Stadium,2013-04-04,38,5,11,92,2013
64,Dwayne Smith,RR,Eden Gardens,2013-05-24,38,2,6,62,2013
65,Shane Watson,SRH,Sawai Mansingh Stadium,2013-04-27,39,4,13,98,2013
66,Mandeep Singh,PWI,IS Bindra Stadium,2013-04-21,39,0,7,77,2013
67,Shaun Marsh,MI,HPCA Stadium,2013-05-18,39,0,11,63,2013
68,Gautam Gambhir,RCB,M. Chinnaswamy Stadium,2013-04-11,39,1,7,59,2013
69,Virat Kohli,KXIP,M. Chinnaswamy Stadium,2013-05-14,39,2,6,57,2013
70,Gautam Gambhir,SRH,Eden Gardens,2013-04-14,39,1,6,53,2013
